"time","name","ref","table","plant","type","species","category","comment","deleted"
"2023-03-30 08:55:46","Katja","r0","Tisch 8","F4","Schädling","Blattläuse","0","",0
"2023-03-30 08:56:21","Katja","r0","Tisch 8","D5","Schädling","Blattläuse","0","",0
"2023-03-30 08:56:21","Katja","r0","Tisch 8","F4","Schädling","Blattläuse","0","",0
"2023-03-30 08:57:08","Katja","r0","Tisch 8","C2","Schädling","Blattläuse","0","",0
"2023-03-30 08:57:22","Katja","r0","Tisch 8","B3","Schädling","Blattläuse","1 - 2","",0
"2023-03-30 08:57:31","Katja","r0","Tisch 8","A5","Schädling","Blattläuse","0","",0
"2023-03-30 08:57:41","Katja","r0","Tisch 7","D1","Schädling","Blattläuse","0","",0
"2023-03-30 08:57:48","Katja","r0","Tisch 7","A3","Schädling","Blattläuse","0","",0
"2023-03-30 08:57:56","Katja","r0","Tisch 7","B5","Schädling","Blattläuse","0","",0
"2023-03-30 08:58:18","Katja","r0","Tisch 7","C6","Schädling","Blattläuse","1 - 2","",0
"2023-03-30 08:58:18","Katja","r0","Tisch 6","D2","Schädling","Blattläuse","1 - 2","",0
"2023-03-30 08:58:27","Katja","r0","Tisch 6","D2","Schädling","Blattläuse","0","",0
"2023-03-30 08:58:39","Katja","r0","Tisch 6","C6","Schädling","Blattläuse","1 - 2","",0
"2023-03-30 08:58:56","Katja","r0","Tisch 6","B8","Schädling","Blattläuse","1 - 2","",0
"2023-03-30 08:59:02","Katja","r0","Tisch 6","A7","Schädling","Blattläuse","0","",0
"2023-03-30 08:59:16","Katja","r0","Tisch 5","C2","Schädling","Blattläuse","0","",0
"2023-03-30 08:59:22","Katja","r0","Tisch 5","D3","Schädling","Blattläuse","0","",0
"2023-03-30 08:59:28","Katja","r0","Tisch 7","H2","Schädling","Blattläuse","0","",0
"2023-03-30 08:59:40","Katja","r0","Tisch 5","A4","Schädling","Blattläuse","0","",0
"2023-03-30 09:00:07","Katja","r0","Tisch 5","B6","Schädling","Blattläuse","1 - 2","Gemüseeule",0
"2023-03-30 09:00:21","Katja","r0","Tisch 5","E5","Schädling","Blattläuse","0","",0
"2023-03-30 09:00:30","Katja","r0","Tisch 5","F6","Schädling","Blattläuse","0","",0
"2023-03-30 09:01:04","Katja","r0","Tisch 5","H4","Schädling","Blattläuse","1 - 2","Gemüseeule",0
"2023-03-30 09:01:05","Katja","r0","Tisch 5","I3","Schädling","Blattläuse","1 - 2","Gemüseeule",0
"2023-03-30 09:02:44","Katja","r0","Tisch 7","I4","Schädling","Blattläuse","1 - 2","Gemüseeule und eine Art Pilz",0
"2023-03-30 09:02:44","Katja","r0","Tisch 7","E4","Schädling","Blattläuse","1 - 2","Gemüseeule und eine Art Pilz",0
"2023-03-30 09:04:49","Katja","r0","Tisch 5","I3","Schädling","Blattläuse","1 - 2","Gemüseeule",0
"2023-03-30 09:05:08","Katja","r0","Tisch 5","G1","Schädling","Blattläuse","1 - 2","Gemüseeule",0
"2023-03-30 09:05:24","Katja","r0","Tisch 6","G9","Schädling","Blattläuse","1 - 2","",0
